Book,startChapter,startVerse,endChapter,endVerse,Book,startChapter,startVerse,endChapter,endVerse,Book,startChapter,startVerse,endChapter,endVerse,Book,startChapter,startVerse,endChapter,endVerse
GEN,1,1,1,23,JOS,1,1,2,7,RUT,1,1,1,18,MAT,1,0,,0
GEN,1,24,2,7,JOS,2,8,3,6,RUT,1,19,2,12,MAT,2,1,2,15
GEN,2,8,2,25,JOS,3,7,4,13,RUT,2,13,3,5,MAT,2,16,3,17
GEN,3,1,3,13,JOS,4,14,5,15,RUT,3,6,4,4,MAT,4,1,4,22
GEN,3,14,4,8,JOS,6,1,6,25,RUT,4,5,4,22,MAT,4,23,5,20
GEN,4,9,4,24,JOS,6,26,7,15,1CH,1,1,1,33,MAT,5,21,5,37
GEN,4,25,5,20,JOS,7,16,8,13,1CH,1,34,2,8,MAT,5,38,6,13
GEN,5,21,6,8,JOS,8,14,8,35,1CH,2,9,2,33,MAT,6,14,6,34
GEN,6,9,6,22,JOS,9,0,,0,1CH,2,34,3,4,MAT,7,1,7,23
GEN,7,0,,0,JOS,10,1,10,27,1CH,3,5,4,4,MAT,7,24,8,17
GEN,8,1,8,14,JOS,10,28,11,5,1CH,4,5,4,23,MAT,8,18,9,8
GEN,8,15,9,7,JOS,11,6,12,6,1CH,4,24,5,3,MAT,9,9,9,31
GEN,9,8,9,29,JOS,12,7,13,14,1CH,5,4,5,22,MAT,9,32,10,15
GEN,10,1,10,20,JOS,13,15,14,5,1CH,5,23,6,30,MAT,10,16,10,39
GEN,10,21,11,9,JOS,14,6,15,12,1CH,6,31,6,53,MAT,10,40,11,15
GEN,11,10,11,32,JOS,15,13,15,63,1CH,6,54,6,76,MAT,11,16,12,8
GEN,12,1,12,20,JOS,16,0,17,0,1CH,6,77,7,13,MAT,12,9,12,32
GEN,13,1,13,13,JOS,18,1,18,20,1CH,7,14,7,40,MAT,12,33,12,50
GEN,13,14,14,12,JOS,18,21,19,23,1CH,8,1,8,32,MAT,13,1,13,23
GEN,14,13,14,24,JOS,19,24,20,6,1CH,8,33,9,9,MAT,13,24,13,43
GEN,15,1,15,21,JOS,20,7,21,33,1CH,9,10,9,27,MAT,13,44,14,7
GEN,16,1,16,16,JOS,21,34,22,14,1CH,9,28,10,7,MAT,14,8,14,33
GEN,17,1,17,14,JOS,22,15,22,34,1CH,10,8,11,9,MAT,14,34,15,20
GEN,17,15,18,8,JOS,23,1,24,8,1CH,11,10,11,25,MAT,15,21,15,39
GEN,18,9,18,25,JOS,24,9,24,33,1CH,11,26,12,15,MAT,16,1,16,23
GEN,18,26,19,11,JDG,1,1,1,28,1CH,12,16,12,30,MAT,16,24,17,21
GEN,19,12,19,26,JDG,1,29,2,17,1CH,12,31,13,8,MAT,17,22,18,11
GEN,19,27,19,38,JDG,2,18,3,19,1CH,13,9,14,12,MAT,18,12,18,35
GEN,20,0,,0,JDG,3,20,4,13,1CH,14,13,15,15,MAT,19,1,19,22
GEN,21,1,21,16,JDG,4,14,5,17,1CH,15,16,16,3,MAT,19,23,20,16
GEN,21,17,21,34,JDG,5,18,6,11,1CH,16,4,16,29,MAT,20,17,20,34
GEN,22,1,22,19,JDG,6,12,6,37,1CH,16,30,17,6,MAT,21,1,21,17
GEN,22,20,23,11,JDG,6,38,7,18,1CH,17,7,17,23,MAT,21,18,21,32
GEN,23,12,24,9,JDG,7,19,8,17,1CH,17,24,18,13,MAT,21,33,22,14
GEN,24,10,24,21,JDG,8,18,9,6,1CH,18,14,19,15,MAT,22,15,22,40
GEN,24,22,24,41,JDG,9,7,9,33,1CH,19,16,20,8,MAT,22,41,23,22
GEN,24,42,24,60,JDG,9,34,10,5,1CH,21,1,21,17,MAT,23,23,23,39
GEN,24,61,25,10,JDG,10,6,11,11,1CH,21,18,22,5,MAT,24,1,24,28
GEN,25,11,25,28,JDG,11,12,11,33,1CH,22,6,22,19,MAT,24,29,24,51
GEN,25,29,26,11,JDG,11,34,13,5,1CH,23,1,23,23,MAT,25,1,25,23
GEN,26,12,26,25,JDG,13,6,14,4,1CH,23,24,24,6,MAT,25,24,25,46
GEN,26,26,27,10,JDG,14,5,15,8,1CH,24,7,24,31,MAT,26,1,26,25
GEN,27,11,27,29,JDG,15,9,16,12,1CH,25,0,,0,MAT,26,26,26,43
GEN,27,30,27,45,JDG,16,13,16,31,1CH,26,1,26,19,MAT,26,44,26,75
GEN,27,46,28,9,JDG,17,1,18,10,1CH,26,20,27,4,MAT,27,1,27,18
GEN,28,10,29,3,JDG,18,11,19,4,1CH,27,5,27,24,MAT,27,19,27,44
GEN,29,4,29,20,JDG,19,5,19,28,1CH,27,25,28,5,MAT,27,45,27,66
GEN,29,21,29,35,JDG,19,29,20,25,1CH,28,6,28,19,MAT,28,1,28,20
GEN,30,1,30,24,JDG,20,26,20,48,1CH,28,20,29,13,MAR,1,1,1,22
GEN,30,25,30,43,JDG,21,0,,0,1CH,29,14,29,30,MAR,1,23,1,45
GEN,31,1,31,16,1SM,1,0,,0,2CH,1,0,,0,MAR,2,1,2,20
GEN,31,17,31,35,1SM,2,1,2,26,2CH,2,1,2,12,MAR,2,21,3,12
GEN,31,36,31,55,1SM,2,27,3,18,2CH,2,12,3,10,MAR,3,13,3,35
GEN,32,1,32,12,1SM,3,19,4,22,2CH,3,11,4,10,MAR,4,1,4,25
GEN,32,13,32,32,1SM,5,1,6,9,2CH,4,11,5,10,MAR,4,26,5,5
GEN,33,1,33,17,1SM,6,10,7,12,2CH,5,11,6,11,MAR,5,6,5,30
GEN,33,18,34,17,1SM,7,13,8,22,2CH,6,12,6,27,MAR,5,31,6,6
GEN,34,18,34,31,1SM,9,1,9,24,2CH,6,28,6,42,MAR,6,7,6,29
GEN,35,1,35,15,1SM,9,25,10,24,2CH,7,1,7,11,MAR,6,30,6,56
GEN,35,16,36,8,1SM,10,25,12,5,2CH,7,12,8,10,MAR,7,1,7,16
GEN,36,9,36,19,1SM,12,6,13,4,2CH,8,11,9,6,MAR,7,17,7,37
GEN,36,20,36,43,1SM,13,5,14,3,2CH,9,7,9,24,MAR,8,1,8,26
GEN,37,1,37,17,1SM,14,4,14,30,2CH,9,25,10,11,MAR,8,27,9,8
GEN,37,18,37,36,1SM,14,31,15,5,2CH,10,12,11,12,MAR,9,9,9,29
GEN,38,1,38,14,1SM,15,6,15,35,2CH,11,13,12,4,MAR,9,30,9,50
GEN,38,15,38,30,1SM,16,1,16,23,2CH,12,5,13,3,MAR,10,1,10,27
GEN,39,1,39,12,1SM,17,1,17,30,2CH,13,4,13,22,MAR,10,28,10,45
GEN,39,13,40,8,1SM,17,31,17,54,2CH,14,0,,0,MAR,10,46,11,14
GEN,40,9,40,23,1SM,17,55,18,27,2CH,15,0,,0,MAR,11,15,11,33
GEN,41,1,41,16,1SM,18,28,19,24,2CH,16,0,,0,MAR,12,1,12,27
GEN,41,17,41,36,1SM,20,1,20,23,2CH,17,0,,0,MAR,12,28,12,44
GEN,41,37,41,57,1SM,20,24,21,6,2CH,18,1,18,17,MAR,13,1,13,23
GEN,42,1,42,17,1SM,21,7,22,12,2CH,18,18,18,34,MAR,13,24,14,9
GEN,42,18,42,34,1SM,22,13,23,18,2CH,19,1,20,4,MAR,14,10,14,31
GEN,42,35,43,10,1SM,23,19,24,15,2CH,20,5,20,19,MAR,14,32,14,52
GEN,43,11,43,25,1SM,24,16,25,17,2CH,20,20,20,37,MAR,14,53,14,72
GEN,43,26,44,5,1SM,25,18,25,38,2CH,21,1,21,17,MAR,15,1,15,21
GEN,44,6,44,26,1SM,25,39,26,20,2CH,21,18,22,12,MAR,15,22,15,47
GEN,44,27,45,7,1SM,26,21,28,6,2CH,23,1,23,11,MAR,16,1,16,20
GEN,45,8,45,28,1SM,28,7,29,5,2CH,23,12,24,7,LUK,1,1,1,20
GEN,46,1,46,15,1SM,29,6,30,15,2CH,24,8,24,22,LUK,1,21,1,45
GEN,46,16,46,34,1SM,30,16,31,13,2CH,24,23,25,10,LUK,1,46,1,66
